"Status","Name","Duration in ms","Description"
"passed","test1.spec.js#basic test","4476",""
"passed","example.spec.js#get started link","2451",""
"passed","example.spec.js#has title","2755",""
"passed","example.spec.js#has title","2092",""
"passed","example.spec.js#has title","4340",""
"passed","example.spec.js#get started link","3023",""
"passed","test1.spec.js#basic test","911",""
"passed","example.spec.js#get started link","5572",""
"passed","test1.spec.js#basic test","567",""
